Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
26 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,26 AUG 2026,               5.00,          35286502,            223.65,     7891120442.25 
26 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,26 AUG 2026,              10.00,          10500000,             42.60,      447195000.00
26 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,26 AUG 2026,               1.00,         406486596,           1197.20,   486645752731.20    
26 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,26 AUG 2026,              10.00,           8582670,           1306.30,    11211541821.00
26 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,26 AUG 2026,              10.00,         207403767,             24.05,     4985986558.70 
26 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,26 AUG 2026,              10.00,          11265070,          33570.00,   378168399900.00   
26 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,26 AUG 2026,               2.00,          18000000,             32.00,      576000000.00    
26 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,26 AUG 2026,              10.00,          46882257,            376.40,    17646481534.80    
26 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,26 AUG 2026,               2.00,          46078537,            777.55,    35828366444.35   
26 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,26 AUG 2026,              10.00,         177522358,             16.00,     2840357728.00  
26 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,26 AUG 2026,              10.00,          12826800,             91.50,     1173523932.00   
26 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,26 AUG 2026,              10.00,         437298899,            470.35,   205683537144.65 
26 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,26 AUG 2026,              10.00,          14172816,             65.85,      933279933.60    
26 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,26 AUG 2026,               1.00,         101250000,              8.75,      883912500.00    
26 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,26 AUG 2026,              10.00,          14138000,             65.00,      918970000.00  
26 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,26 AUG 2026,              10.00,          28354303,             80.75,     2289609967.25
26 AUG 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,26 AUG 2026,              10.00,          42238628,             34.10,     1440337214.80    
26 AUG 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,26 AUG 2026,              10.00,          20946478,            136.10,     2850396726.25     
26 AUG 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,26 AUG 2026,               5.00,          31770375,             47.90,     1522436370.00   
26 AUG 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,26 AUG 2026,              10.00,          91270000,            418.00,    38150860000.00
26 AUG 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,26 AUG 2026,               5.00,         362594491,            542.95,   196870678888.45  
26 AUG 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,26 AUG 2026,               5.00,          90657751,            836.65,    75848807374.15
26 AUG 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,26 AUG 2026,              10.00,           8464995,            538.15,     4555437059.25 
26 AUG 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,26 AUG 2026,              10.00,          14844100,            150.05,     2227208764.00     
26 AUG 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,26 AUG 2026,              10.00,          44142190,             80.35,     3546383544.60    
26 AUG 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,26 AUG 2026,               5.00,          22600000,             18.55,      419230000.00    
26 AUG 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,26 AUG 2026,              10.00,          79287782,           1285.80,   101948230095.60     
26 AUG 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,26 AUG 2026,               2.00,          58365323,             15.75,      918670184.00      
26 AUG 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,26 AUG 2026,               2.00,          69748880,             27.90,     1946691240.80  
26 AUG 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,26 AUG 2026,               2.00,         211908375,           7609.00,  1612410825375.00       
26 AUG 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,26 AUG 2026,              10.00,          21249302,          26555.00,   564275214610.00
26 AUG 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,26 AUG 2026,              10.00,        2621853064,            410.00,  1074959756240.00 
26 AUG 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,26 AUG 2026,              10.00,          21963620,            205.35,     4510449003.20    
26 AUG 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,26 AUG 2026,               2.00,         279710151,            613.70,   171658119668.70      
26 AUG 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,26 AUG 2026,              10.00,        1220510115,             54.50,    66542211469.80     
26 AUG 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,26 AUG 2026,              10.00,          18587830,             24.00,      446107920.00 
26 AUG 2026,ABINFRA,BE,A B INFRABUILD LIMITED   ,Listed    ,26 AUG 2026,               1.00,         638789360,             11.95,     7633532852.00   
26 AUG 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,26 AUG 2026,              10.00,        1220521649,             86.05,   105013682679.95     
26 AUG 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,26 AUG 2026,              10.00,           9408000,             60.45,      568807680.00
26 AUG 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,26 AUG 2026,               5.00,          20002200,            186.40,     3728210058.00    
26 AUG 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,26 AUG 2026,              10.00,         111695680,           1392.30,   155513895264.00     
26 AUG 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,26 AUG 2026,               5.00,         289175042,           1033.50,   298862405907.00   
26 AUG 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,26 AUG 2026,              10.00,          24550000,            286.40,     7031120000.00 
26 AUG 2026,ACC,EQ,ACC LIMITED              ,Listed    ,26 AUG 2026,              10.00,         187787263,           1331.70,   250076298137.10       
26 AUG 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,26 AUG 2026,              10.00,          14926261,           1131.80,    16893542199.80   
26 AUG 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,26 AUG 2026,              10.00,          23989020,            593.75,    14243480625.00 
26 AUG 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 AUG 2026,              10.00,           3872000,            198.35,      768011200.00    
26 AUG 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,26 AUG 2026,              10.00,          11116000,            200.80,     2232092800.00     
26 AUG 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,26 AUG 2026,               1.00,         150560000,              4.60,      691070400.00  
26 AUG 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,26 AUG 2026,               2.00,         119083196,           1159.00,   138017424164.00       
26 AUG 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,26 AUG 2026,              10.00,          10200000,             17.70,      180744000.00  
26 AUG 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,26 AUG 2026,              10.00,          16383735,            129.00,     2113501815.00    
26 AUG 2026,ACGL,EQ,AUTOMOBILE CORPN OF GOA L,Permitted ,26 AUG 2026,              10.00,           6088622,           1802.90,    10977176603.80      
26 AUG 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,26 AUG 2026,               2.00,         123458394,            489.90,    60482267220.60       
26 AUG 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,26 AUG 2026,              10.00,          92172140,             44.40,     4090599573.20       
26 AUG 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,26 AUG 2026,               2.00,         706874336,            395.95,   279886893339.20 
26 AUG 2026,ACSTECH,BE,A C S TECHNOLOGIES LTD.  ,Permitted ,26 AUG 2026,              10.00,          60681608,             48.45,     2940023907.60   
26 AUG 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,24 AUG 2026,               5.00,          15015016,            181.20,     2720720899.20
26 AUG 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,26 AUG 2026,               5.00,          81871122,           3257.80,   266719741251.60   
26 AUG 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,26 AUG 2026,              10.00,        1201282642,           1570.50,  1886614389261.00
26 AUG 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,26 AUG 2026,               1.00,        1300905023,           3112.00,  4048416431576.00  
26 AUG 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,26 AUG 2026,              10.00,        1647176155,           1303.20,  2146599965196.00
26 AUG 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,26 AUG 2026,               2.00,        2303959098,           1691.50,  3897146814267.00
26 AUG 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,26 AUG 2026,               2.00,       19284694705,            207.20,  3995788742876.00
26 AUG 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,26 AUG 2026,              10.00,          15909732,             47.90,      762076162.80 
26 AUG 2026,ADDIND,EQ,ADDI INDUSTRIES LTD.     ,Permitted ,26 AUG 2026,               5.00,          10796574,             82.65,      892444806.85    
26 AUG 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,26 AUG 2026,               2.00,         109863595,            280.70,    30838711116.50  
26 AUG 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,26 AUG 2026,              10.00,          16318000,            205.95,     3360692100.00   
26 AUG 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,26 AUG 2026,              10.00,           5566250,             72.45,      403386137.50       
26 AUG 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,26 AUG 2026,              10.00,          17402815,           1531.20,    26647190328.00      
26 AUG 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,26 AUG 2026,              10.00,          54177208,             10.20,      552065749.50
26 AUG 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,26 AUG 2026,               5.00,          56568528,            109.50,     6193122445.45      
26 AUG 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,26 AUG 2026,              10.00,          10943011,           2147.70,    23502304724.70    
26 AUG 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,26 AUG 2026,              10.00,          64285720,            122.60,     7880143557.60   
26 AUG 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,26 AUG 2026,               2.00,          92438500,             49.90,     4610832380.00
26 AUG 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,26 AUG 2026,              10.00,          53942887,            138.50,     7470010991.75 
26 AUG 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,26 AUG 2026,               2.00,         111976150,            297.20,    33279311780.00
26 AUG 2026,ADVIKCA,EQ,ADVIK CAPITAL LTD.       ,Permitted ,26 AUG 2026,               1.00,         608520425,              1.20,      724139305.75   
26 AUG 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,26 AUG 2026,               1.00,         351000000,           1331.70,   467426700000.00  
26 AUG 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,26 AUG 2026,              10.00,        1107991489,            264.15,   292675951819.35
26 AUG 2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,26 AUG 2026,               1.00,         251036900,             15.10,     3790657190.00      
26 AUG 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,26 AUG 2026,              10.00,         670665635,            251.65,   168779713704.10     
26 AUG 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,26 AUG 2026,               2.00,         113085000,            143.65,    16243529400.00 
26 AUG 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,26 AUG 2026,               2.00,         132330768,            536.35,    70975607416.80  
26 AUG 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,26 AUG 2026,              10.00,          17020000,             73.75,     1255225000.00     
26 AUG 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,26 AUG 2026,              10.00,          25796000,             82.15,     2118883440.00   
26 AUG 2026,AEROPLANE,EQ,AMIR CHAND JAG KUM (E) L ,Listed    ,26 AUG 2026,              10.00,         103551556,            175.00,    18120486784.45 
26 AUG 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,24 AUG 2026,              10.00,          17220175,             71.75,     1235547556.25 
26 AUG 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,26 AUG 2026,              10.00,         132712576,           1655.00,   219639313280.00    
26 AUG 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,26 AUG 2026,              10.00,         367784631,            285.05,   104837009066.55    
26 AUG 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,26 AUG 2026,               2.00,         140796384,           1686.80,   237495340531.20     
26 AUG 2026,AFFORDABLE,BE,AFFORD ROBO & AUTO LTD   ,Listed    ,26 AUG 2026,              10.00,          11851105,            165.90,     1966335341.60
26 AUG 2026,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,26 AUG 2026,               1.00,         426749960,              9.50,     4054124620.00      
26 AUG 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,26 AUG 2026,               2.00,          50792840,            201.00,    10209360840.00      
26 AUG 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,26 AUG 2026,              10.00,          14957789,            470.20,     7033152387.80   
26 AUG 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,26 AUG 2026,               1.00,         316983028,            498.55,   158031888609.40
26 AUG 2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,26 AUG 2026,              10.00,           7243488,             33.25,      240845976.00 
26 AUG 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,26 AUG 2026,              10.00,          17674600,            141.75,     2505374550.00
26 AUG 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,26 AUG 2026,               2.00,          64697381,            744.50,    48167200154.50       
26 AUG 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,26 AUG 2026,               1.00,         124997388,            287.90,    35986748005.20     
