Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
08 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,08 SEP 2026,               5.00,          35286502,            219.30,     7737624158.55 
08 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,08 SEP 2026,              10.00,          10500000,             38.60,      405195000.00
08 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,08 SEP 2026,               1.00,         406486596,           1110.00,   451200121560.00    
08 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,08 SEP 2026,              10.00,           8582670,           1455.30,    12490359651.00
08 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,08 SEP 2026,              10.00,         207403767,             22.30,     4629252079.45 
08 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,08 SEP 2026,              10.00,          11265070,          33145.00,   373380745150.00   
08 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,08 SEP 2026,               2.00,          18000000,             32.40,      583200000.00    
08 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,08 SEP 2026,              10.00,          46882257,            337.40,    15818073511.80    
08 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,08 SEP 2026,               2.00,          46078537,            868.25,    40007689750.25   
08 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,08 SEP 2026,              10.00,         177522358,             15.80,     2804853256.40  
08 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,08 SEP 2026,              10.00,          12826800,             92.65,     1188274752.00   
08 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,08 SEP 2026,              10.00,         437298899,            479.65,   209750416905.35 
08 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,08 SEP 2026,              10.00,          14172816,             64.80,      918398476.80    
08 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,08 SEP 2026,               1.00,         101250000,              8.50,      859612500.00    
08 SEP 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,08 SEP 2026,              10.00,          14138000,            127.90,     1808250200.00  
08 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,08 SEP 2026,              10.00,          28354303,             98.05,     2779572323.10
08 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,08 SEP 2026,              10.00,          42238628,             31.60,     1334318258.50    
08 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,08 SEP 2026,              10.00,          20946478,            125.00,     2618519214.80     
08 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,08 SEP 2026,               5.00,          31770375,             51.40,     1632361867.50   
08 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,08 SEP 2026,              10.00,          91270000,            421.50,    38470305000.00
08 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,08 SEP 2026,               5.00,         362594491,            503.70,   182638845116.70  
08 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,08 SEP 2026,               5.00,          90657751,            867.00,    78600270117.00
08 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,08 SEP 2026,              10.00,           8464995,            538.75,     4560516056.25 
08 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,08 SEP 2026,              10.00,          14844100,            142.15,     2110237256.00     
08 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,08 SEP 2026,              10.00,          44142190,             76.85,     3392327301.50    
08 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,08 SEP 2026,               5.00,          22600000,             19.70,      445220000.00    
08 SEP 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,08 SEP 2026,              10.00,          79287782,           1293.50,   102558746017.00     
08 SEP 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,08 SEP 2026,               2.00,          58365323,             14.55,      849215449.65      
08 SEP 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,08 SEP 2026,               2.00,          69748880,             27.75,     1936926397.60  
08 SEP 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,08 SEP 2026,               2.00,         211908375,           7387.00,  1565367166125.00       
08 SEP 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,08 SEP 2026,              10.00,          21249302,          25555.00,   543025912610.00
08 SEP 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,08 SEP 2026,              10.00,        2621853064,            396.95,  1040744573754.80 
08 SEP 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,08 SEP 2026,              10.00,          21963620,            208.00,     4568213323.80    
08 SEP 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,08 SEP 2026,               2.00,         279710151,            594.50,   166287684769.50      
08 SEP 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,08 SEP 2026,              10.00,        1220510115,             52.25,    63759448407.60     
08 SEP 2026,ABH,ST,ABH HEALTHCARE LIMITED   ,Listed    ,08 SEP 2026,              10.00,          11429600,             72.90,      833217840.00       
08 SEP 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,08 SEP 2026,              10.00,          18587830,             24.00,      446107920.00 
08 SEP 2026,ABINFRA,BE,A B INFRABUILD LIMITED   ,Listed    ,08 SEP 2026,               1.00,         638789360,             11.50,     7352465533.60   
08 SEP 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,08 SEP 2026,              10.00,        1220521649,             84.50,   103158489773.50     
08 SEP 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,08 SEP 2026,              10.00,           9408000,             54.75,      515088000.00
08 SEP 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,08 SEP 2026,               5.00,          20002200,            187.15,     3743011686.00    
08 SEP 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,08 SEP 2026,              10.00,         111695680,           1372.10,   153257642528.00     
08 SEP 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,08 SEP 2026,               5.00,         289175042,           1037.80,   300105858587.60   
08 SEP 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,08 SEP 2026,              10.00,          24550000,            330.70,     8118685000.00 
08 SEP 2026,ACC,EQ,ACC LIMITED              ,Listed    ,08 SEP 2026,              10.00,         187787263,           1262.80,   237137755716.40       
08 SEP 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,08 SEP 2026,              10.00,          14926261,           1124.40,    16783087868.40   
08 SEP 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,08 SEP 2026,              10.00,          23989020,            642.95,    15423740409.00 
08 SEP 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 SEP 2026,              10.00,           3872000,            188.45,      729678400.00    
08 SEP 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,08 SEP 2026,              10.00,          11116000,            210.00,     2334360000.00     
08 SEP 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,08 SEP 2026,               1.00,         150560000,              4.30,      645902400.00  
08 SEP 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,08 SEP 2026,               2.00,         119083196,           1121.20,   133516079355.20       
08 SEP 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,08 SEP 2026,              10.00,          10200000,             17.35,      177174000.00  
08 SEP 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,08 SEP 2026,              10.00,          16383735,            147.10,     2410047418.50    
08 SEP 2026,ACGL,EQ,AUTOMOBILE CORPN OF GOA L,Permitted ,08 SEP 2026,              10.00,           6088622,           1780.50,    10840791471.00      
08 SEP 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,08 SEP 2026,               2.00,         123458394,            484.70,    59840283571.80       
08 SEP 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,08 SEP 2026,              10.00,          92172140,             42.30,     3897959800.60       
08 SEP 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,08 SEP 2026,               2.00,         706874336,            412.60,   291656351033.60 
08 SEP 2026,ACSTECH,BE,A C S TECHNOLOGIES LTD.  ,Permitted ,08 SEP 2026,              10.00,          60681608,             57.15,     3467347081.10   
08 SEP 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,07 SEP 2026,               5.00,          15015016,            176.35,     2647898071.60
08 SEP 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,08 SEP 2026,               5.00,          81871122,           3182.10,   260522097316.20   
08 SEP 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,08 SEP 2026,              10.00,        1201282642,           1407.70,  1691045575143.40
08 SEP 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,08 SEP 2026,               1.00,        1300905023,           2953.10,  3841702623421.30  
08 SEP 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,08 SEP 2026,              10.00,        1647176155,           1292.00,  2128151592260.00
08 SEP 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,08 SEP 2026,               2.00,        2303959098,           1710.00,  3939770057580.00
08 SEP 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,08 SEP 2026,               2.00,       19284694705,            208.40,  4018930376522.00
08 SEP 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,08 SEP 2026,              10.00,          15909732,             42.70,      679345556.40 
08 SEP 2026,ADDIND,EQ,ADDI INDUSTRIES LTD.     ,Permitted ,08 SEP 2026,               5.00,          10796574,             79.85,      862322365.40    
08 SEP 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,08 SEP 2026,               2.00,         109863595,            273.70,    30069665951.50  
08 SEP 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,08 SEP 2026,              10.00,          16318000,            225.05,     3672365900.00   
08 SEP 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,08 SEP 2026,              10.00,           5566250,             74.70,      415743212.50       
08 SEP 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,08 SEP 2026,              10.00,          17402815,           1626.20,    28300457753.00      
