Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
03 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,03 SEP 2026,               5.00,          35286502,            217.80,     7686105865.65 
03 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,03 SEP 2026,              10.00,          10500000,             38.10,      400050000.00
03 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,03 SEP 2026,               1.00,         406486596,           1155.00,   469492018380.00    
03 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,03 SEP 2026,              10.00,           8582670,           1486.20,    12755564154.00
03 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,03 SEP 2026,              10.00,         207403767,             21.80,     4519328082.95 
03 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,03 SEP 2026,              10.00,          11265070,          32820.00,   369719597400.00   
03 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,03 SEP 2026,               2.00,          18000000,             32.45,      584100000.00    
03 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,03 SEP 2026,              10.00,          46882257,            342.45,    16054828909.65    
03 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,03 SEP 2026,               2.00,          46078537,            851.25,    39224354621.25   
03 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,03 SEP 2026,              10.00,         177522358,             16.00,     2836807280.85  
03 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,03 SEP 2026,              10.00,          12826800,             93.15,     1195072956.00   
03 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,03 SEP 2026,              10.00,         437298899,            478.65,   209313118006.35 
03 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,03 SEP 2026,              10.00,          14172816,             63.00,      892887408.00    
03 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,03 SEP 2026,               1.00,         101250000,              8.75,      887962500.00    
03 SEP 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,03 SEP 2026,              10.00,          14138000,            100.75,     1424403500.00  
03 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,03 SEP 2026,              10.00,          28354303,             94.45,     2677780375.30
03 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,03 SEP 2026,              10.00,          42238628,             32.20,     1360928594.15    
03 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,03 SEP 2026,              10.00,          20946478,            129.00,     2701676732.45     
03 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,03 SEP 2026,               5.00,          31770375,             49.15,     1561831635.00   
03 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,03 SEP 2026,              10.00,          91270000,            425.85,    38867329500.00
03 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,03 SEP 2026,               5.00,         362594491,            501.90,   181986175032.90  
03 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,03 SEP 2026,               5.00,          90657751,            868.10,    78699993643.10
03 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,03 SEP 2026,              10.00,           8464995,            544.25,     4607073528.75 
03 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,03 SEP 2026,              10.00,          14844100,            141.35,     2098213535.00     
03 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,03 SEP 2026,              10.00,          44142190,             80.05,     3533582309.50    
03 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,27 AUG 2026,               5.00,          22600000,             18.25,      412450000.00    
