Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,18 AUG 2026,               5.00,          35286502,            197.15,     6957086734.30 
18 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,18 AUG 2026,              10.00,          10500000,             45.65,      479220000.00
18 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,18 AUG 2026,               1.00,         406486596,           1163.60,   472987803105.60    
18 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,18 AUG 2026,              10.00,           8582670,           1148.40,     9856338228.00
18 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,18 AUG 2026,              10.00,         207403767,             24.35,     5052355764.10 
18 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,18 AUG 2026,              10.00,          11265070,          34945.00,   393657871150.00   
18 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,18 AUG 2026,               2.00,          18000000,             32.05,      576540000.00    
18 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,18 AUG 2026,              10.00,          46882257,            388.30,    18204380393.10    
18 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,18 AUG 2026,               2.00,          46078537,            757.65,    34911403558.05   
18 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,18 AUG 2026,              10.00,         177522358,             14.25,     2531468825.10  
18 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,18 AUG 2026,              10.00,          12826800,             92.80,     1190455308.00   
18 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,18 AUG 2026,              10.00,         437298899,            487.40,   213139483372.60 
18 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,18 AUG 2026,              10.00,          14172816,             53.05,      751867888.80    
18 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,18 AUG 2026,               1.00,         101250000,              9.15,      924412500.00    
18 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,17 AUG 2026,              10.00,          14138000,             71.80,     1015108400.00  
18 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,18 AUG 2026,              10.00,          28354303,             82.15,     2329589534.50
18 AUG 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,18 AUG 2026,              10.00,          42238628,             35.35,     1493980272.35    
18 AUG 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,18 AUG 2026,              10.00,          20946478,            143.80,     3011684606.85     
18 AUG 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,18 AUG 2026,               5.00,          31770375,             51.40,     1632361867.50   
18 AUG 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,18 AUG 2026,              10.00,          91270000,            412.80,    37676256000.00
18 AUG 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,18 AUG 2026,               5.00,         362594491,            530.10,   192211339679.10  
18 AUG 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,18 AUG 2026,               5.00,          90657751,            874.55,    79284736137.05
18 AUG 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,18 AUG 2026,              10.00,           8464995,            594.40,     5031593028.00 
18 AUG 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,18 AUG 2026,              10.00,          14844100,            151.95,     2255264113.00     
