Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
15 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,15 SEP 2026,               5.00,          35286502,            201.30,     7102819987.60 
15 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,15 SEP 2026,              10.00,          10500000,             39.00,      409500000.00
15 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,15 SEP 2026,               1.00,         406486596,           1052.10,   427664547651.60    
15 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,15 SEP 2026,              10.00,           8582670,           1355.80,    11636383986.00
15 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,15 SEP 2026,              10.00,         207403767,             24.00,     4975616370.35 
15 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,15 SEP 2026,              10.00,          11265070,          31590.00,   355863561300.00   
15 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,15 SEP 2026,               2.00,          18000000,             30.80,      554400000.00    
15 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,15 SEP 2026,              10.00,          46882257,            313.20,    14683522892.40    
15 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,15 SEP 2026,               2.00,          46078537,            864.00,    39811855968.00   
15 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,15 SEP 2026,              10.00,         177522358,             15.10,     2682362829.40  
15 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,15 SEP 2026,              10.00,          12826800,             92.00,     1179809064.00   
15 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,15 SEP 2026,              10.00,         437298899,            448.35,   196062961366.65 
15 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,15 SEP 2026,              10.00,          14172816,             63.00,      892887408.00    
15 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,15 SEP 2026,               1.00,         101250000,              8.85,      894037500.00    
15 SEP 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,15 SEP 2026,              10.00,          14138000,            140.10,     1980733800.00  
15 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,15 SEP 2026,              10.00,          28354303,             98.80,     2801972222.45
15 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,15 SEP 2026,              10.00,          42238628,             29.80,     1258288728.10    
15 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,15 SEP 2026,              10.00,          20946478,            123.20,     2580187160.05     
15 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,15 SEP 2026,               5.00,          31770375,             50.85,     1614888161.25   
15 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,15 SEP 2026,              10.00,          91270000,            426.35,    38912964500.00
15 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,15 SEP 2026,               5.00,         362594491,            468.70,   169948037931.70  
