Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
20 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,20 AUG 2026,               5.00,          35286502,            203.95,     7197034947.90 
20 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,20 AUG 2026,              10.00,          10500000,             43.90,      461160000.00
20 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,20 AUG 2026,               1.00,         406486596,           1203.00,   489003374988.00    
20 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,20 AUG 2026,              10.00,           8582670,           1151.10,     9879511437.00
20 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,20 AUG 2026,              10.00,         207403767,             22.25,     4614733815.75 
20 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,20 AUG 2026,              10.00,          11265070,          33550.00,   377943098500.00   
20 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,20 AUG 2026,               2.00,          18000000,             31.60,      568800000.00    
20 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,20 AUG 2026,              10.00,          46882257,            390.90,    18326274261.30    
20 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,20 AUG 2026,               2.00,          46078537,            770.80,    35517336319.60   
20 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,20 AUG 2026,              10.00,         177522358,             15.20,     2696564618.00  
20 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,20 AUG 2026,              10.00,          12826800,             93.85,     1203923448.00   
20 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,20 AUG 2026,              10.00,         437298899,            474.95,   207695112080.05 
20 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,20 AUG 2026,              10.00,          14172816,             58.40,      827692454.40    
20 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,20 AUG 2026,               1.00,         101250000,              8.55,      864675000.00    
20 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,19 AUG 2026,              10.00,          14138000,             69.00,      975522000.00  
20 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,20 AUG 2026,              10.00,          28354303,             80.60,     2285073278.75
20 AUG 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,20 AUG 2026,              10.00,          42238628,             33.70,     1423864149.90    
20 AUG 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,20 AUG 2026,              10.00,          20946478,            139.30,     2917844385.40     
20 AUG 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,20 AUG 2026,               5.00,          31770375,             50.65,     1609804901.25   
