Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
09 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,09 SEP 2026,               5.00,          35286502,            218.05,     7694574626.10 
09 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,09 SEP 2026,              10.00,          10500000,             38.80,      407400000.00
09 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,09 SEP 2026,               1.00,         406486596,           1087.40,   442013524490.40    
09 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,09 SEP 2026,              10.00,           8582670,           1476.10,    12668879187.00
09 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,09 SEP 2026,              10.00,         207403767,             22.50,     4666584757.50 
09 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,09 SEP 2026,              10.00,          11265070,          33025.00,   372028936750.00   
09 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,09 SEP 2026,               2.00,          18000000,             32.25,      580500000.00    
09 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,09 SEP 2026,              10.00,          46882257,            334.30,    15672738515.10    
09 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,09 SEP 2026,               2.00,          46078537,            865.05,    39860238431.85   
09 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,09 SEP 2026,              10.00,         177522358,             15.25,     2707215959.50  
09 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,09 SEP 2026,              10.00,          12826800,             91.85,     1178269848.00   
09 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,09 SEP 2026,              10.00,         437298899,            471.90,   206361350438.10 
09 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,09 SEP 2026,              10.00,          14172816,             63.00,      892887408.00    
09 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,09 SEP 2026,               1.00,         101250000,              8.50,      859612500.00    
09 SEP 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,09 SEP 2026,              10.00,          14138000,            134.25,     1898026500.00  
09 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,09 SEP 2026,              10.00,          28354303,            100.00,     2834863213.95
09 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,09 SEP 2026,              10.00,          42238628,             31.90,     1347412233.20    
09 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,09 SEP 2026,              10.00,          20946478,            134.50,     2817301291.00     
09 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,09 SEP 2026,               5.00,          31770375,             52.50,     1667944687.50   
09 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,09 SEP 2026,              10.00,          91270000,            423.45,    38648281500.00
09 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,09 SEP 2026,               5.00,         362594491,            496.20,   179919386434.20  
09 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,09 SEP 2026,               5.00,          90657751,            829.65,    75214203117.15
09 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,09 SEP 2026,              10.00,           8464995,            512.60,     4339156437.00 
09 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,09 SEP 2026,              10.00,          14844100,            142.05,     2108455964.00     
09 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,09 SEP 2026,              10.00,          44142190,             81.45,     3595822797.40    
09 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,09 SEP 2026,               5.00,          22600000,             19.70,      445220000.00    
09 SEP 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,09 SEP 2026,              10.00,          79287782,           1290.30,   102305025114.60     
09 SEP 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,09 SEP 2026,               2.00,          58365323,             14.70,      859137554.55      
09 SEP 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,09 SEP 2026,               2.00,          69748880,             28.00,     1952271151.20  
09 SEP 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,09 SEP 2026,               2.00,         211908375,           7401.50,  1568439837562.50       
09 SEP 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,09 SEP 2026,              10.00,          21249302,          25225.00,   536013642950.00
09 SEP 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,09 SEP 2026,              10.00,        2621853064,            400.00,  1048741225600.00 
09 SEP 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,09 SEP 2026,              10.00,          21963620,            205.70,     4518136270.20    
09 SEP 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,09 SEP 2026,               2.00,         279710151,            604.15,   168986887726.65      
09 SEP 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,09 SEP 2026,              10.00,        1220510115,             51.35,    62648784202.95     
09 SEP 2026,ABH,ST,ABH HEALTHCARE LIMITED   ,Listed    ,09 SEP 2026,              10.00,          11429600,             69.30,      792071280.00       
09 SEP 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,09 SEP 2026,              10.00,          18587830,             24.50,      455401835.00 
09 SEP 2026,ABINFRA,BE,A B INFRABUILD LIMITED   ,Listed    ,09 SEP 2026,               1.00,         638789360,             11.60,     7403568682.40   
09 SEP 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,09 SEP 2026,              10.00,        1220521649,             84.25,   102841154144.75     
09 SEP 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,09 SEP 2026,              10.00,           9408000,             53.70,      505209600.00
09 SEP 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,09 SEP 2026,               5.00,          20002200,            180.75,     3614997606.00    
09 SEP 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,09 SEP 2026,              10.00,         111695680,           1337.90,   149437650272.00     
09 SEP 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,09 SEP 2026,               5.00,         289175042,           1066.50,   308405182293.00   
09 SEP 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,09 SEP 2026,              10.00,          24550000,            320.15,     7859682500.00 
09 SEP 2026,ACC,EQ,ACC LIMITED              ,Listed    ,09 SEP 2026,              10.00,         187787263,           1257.70,   236180040675.10       
09 SEP 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,09 SEP 2026,              10.00,          14926261,           1119.90,    16715919693.90   
09 SEP 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,09 SEP 2026,              10.00,          23989020,            694.05,    16649579331.00 
09 SEP 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 SEP 2026,              10.00,           3872000,            188.45,      729678400.00    
