Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
21 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,21 SEP 2026,               5.00,          35286502,            220.10,     7767264820.25 
21 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,21 SEP 2026,              10.00,          10500000,             39.45,      414435000.00
21 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,21 SEP 2026,               1.00,         406486596,           1072.70,   436038171529.20    
21 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,21 SEP 2026,              10.00,           8582670,           1407.80,    12082682826.00
21 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,21 SEP 2026,              10.00,         207403767,             25.60,     5313684510.55 
21 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,21 SEP 2026,              10.00,          11265070,          34725.00,   391179555750.00   
21 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,21 SEP 2026,               2.00,          18000000,             31.50,      567000000.00    
21 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,21 SEP 2026,              10.00,          46882257,            314.10,    14725716923.70    
21 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,21 SEP 2026,               2.00,          46078537,            892.05,    41104358930.85   
21 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,21 SEP 2026,              10.00,         177522358,             14.70,     2606028215.45  
21 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,21 SEP 2026,              10.00,          12826800,             94.15,     1207771488.00   
21 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,21 SEP 2026,              10.00,         437298899,            466.05,   203803151878.95 
21 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,21 SEP 2026,              10.00,          14172816,             67.50,      956665080.00    
21 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,21 SEP 2026,               1.00,         101250000,              8.95,      908212500.00    
21 SEP 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,21 SEP 2026,              10.00,          14138000,            140.05,     1980026900.00  
21 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,21 SEP 2026,              10.00,          28354303,            102.35,     2902629998.10
21 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,21 SEP 2026,              10.00,          42238628,             32.55,     1375712113.95    
21 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,21 SEP 2026,              10.00,          20946478,            120.75,     2529077753.70     
21 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,21 SEP 2026,               5.00,          31770375,             51.20,     1626007792.50   
21 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,21 SEP 2026,              10.00,          91270000,            435.50,    39748085000.00
21 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,21 SEP 2026,               5.00,         362594491,            499.80,   181224726601.80  
21 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,21 SEP 2026,               5.00,          90657751,            846.45,    76737253333.95
21 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,21 SEP 2026,              10.00,           8464995,            528.65,     4475019606.75 
21 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,21 SEP 2026,              10.00,          14844100,            136.10,     2020282010.00     
21 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,21 SEP 2026,              10.00,          44142190,             74.20,     3275791919.90    
21 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,21 SEP 2026,               5.00,          22600000,             19.25,      435050000.00    
21 SEP 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,21 SEP 2026,              10.00,          79287782,           1321.20,   104755017578.40     
21 SEP 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,21 SEP 2026,               2.00,          58365323,             14.35,      837542385.05      
21 SEP 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,21 SEP 2026,               2.00,          69748880,             27.00,     1883917248.80  
21 SEP 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,21 SEP 2026,               2.00,         211908375,           7271.00,  1540785794625.00       
21 SEP 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,21 SEP 2026,              10.00,          21249302,          26960.00,   572881181920.00
21 SEP 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,21 SEP 2026,              10.00,        2621853064,            403.40,  1057655526017.60 
21 SEP 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,21 SEP 2026,              10.00,          21963620,            208.00,     4568652596.20    
21 SEP 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,21 SEP 2026,               2.00,         279710151,            656.30,   183573772101.30      
21 SEP 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,21 SEP 2026,              10.00,        1220510115,             49.85,    60842429232.75     
21 SEP 2026,ABH,SM,ABH HEALTHCARE LIMITED   ,Listed    ,21 SEP 2026,              10.00,          11429600,             48.10,      549763760.00       
21 SEP 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,21 SEP 2026,              10.00,          18587830,             24.00,      446107920.00 
21 SEP 2026,ABINFRA,BE,A B INFRABUILD LIMITED   ,Listed    ,21 SEP 2026,               1.00,         638789360,             12.15,     7748514936.80   
21 SEP 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,21 SEP 2026,              10.00,        1220521649,             80.90,    98727996187.60     
21 SEP 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,21 SEP 2026,              10.00,           9408000,             49.00,      460897920.00
21 SEP 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,21 SEP 2026,               5.00,          20002200,            175.65,     3513786474.00    
21 SEP 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,21 SEP 2026,              10.00,         111695680,           1237.10,   138178725728.00     
21 SEP 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,21 SEP 2026,               5.00,         289175042,           1034.30,   299093745940.60   
21 SEP 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,21 SEP 2026,              10.00,          24550000,            283.80,     6967290000.00 
21 SEP 2026,ACC,EQ,ACC LIMITED              ,Listed    ,21 SEP 2026,              10.00,         187787263,           1256.30,   235917138506.90       
21 SEP 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,21 SEP 2026,              10.00,          14926261,           1119.90,    16715919693.90   
21 SEP 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,21 SEP 2026,              10.00,          23989020,            683.55,    16397694621.00 
21 SEP 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 SEP 2026,              10.00,           3872000,            188.45,      729678400.00    
21 SEP 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,21 SEP 2026,              10.00,          11116000,            208.00,     2312128000.00     
21 SEP 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,21 SEP 2026,               1.00,         150560000,              4.60,      691070400.00  
21 SEP 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,21 SEP 2026,               2.00,         119083196,           1230.40,   146519964358.40       
21 SEP 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,21 SEP 2026,              10.00,          10200000,             17.90,      182478000.00  
21 SEP 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,21 SEP 2026,              10.00,          16383735,            153.00,     2506711455.00    
21 SEP 2026,ACGL,EQ,AUTOMOBILE CORPN OF GOA L,Permitted ,21 SEP 2026,              10.00,           6088622,           1714.30,    10437724694.60      
21 SEP 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,21 SEP 2026,               2.00,         123458394,            466.25,    57562476202.50       
