Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,18 SEP 2026,               5.00,          35286502,            208.30,     7349472636.55 
18 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,18 SEP 2026,              10.00,          10500000,             39.00,      409290000.00
18 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,18 SEP 2026,               1.00,         406486596,           1073.10,   436200766167.60    
18 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,18 SEP 2026,              10.00,           8582670,           1319.30,    11323116531.00
18 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,18 SEP 2026,              10.00,         207403767,             25.50,     5288796058.50 
18 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,18 SEP 2026,              10.00,          11265070,          34095.00,   384082561650.00   
18 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,18 SEP 2026,               2.00,          18000000,             31.10,      559620000.00    
18 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,18 SEP 2026,              10.00,          46882257,            321.35,    15065613286.95    
18 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,18 SEP 2026,               2.00,          46078537,            884.75,    40767985610.75   
18 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,18 SEP 2026,              10.00,         177522358,             14.90,     2643307910.60  
18 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,18 SEP 2026,              10.00,          12826800,             86.95,     1115290260.00   
18 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,18 SEP 2026,              10.00,         437298899,            461.65,   201879036723.35 
18 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,18 SEP 2026,              10.00,          14172816,             64.50,      914146632.00    
