Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
01 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,01 JUL 2026,               5.00,          35286502,            199.35,     7034364173.70 
01 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,01 JUL 2026,              10.00,          10500000,             32.25,      338835000.00
01 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,01 JUL 2026,               1.00,         406486596,           1065.90,   433274062676.40    
01 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,01 JUL 2026,              10.00,           8582670,           1201.10,    10308644937.00
01 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,01 JUL 2026,              10.00,         207403767,             17.15,     3561122679.40 
01 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,01 JUL 2026,              10.00,          11265070,          33435.00,   376647615450.00   
01 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,01 JUL 2026,               2.00,          18000000,             31.95,      575460000.00    
01 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,01 JUL 2026,              10.00,          46882257,            363.45,    17039356306.65    
01 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,01 JUL 2026,               2.00,          46078537,            664.70,    30628403543.90   
01 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,01 JUL 2026,              10.00,         177522358,             13.35,     2373473926.45  
01 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,01 JUL 2026,              10.00,          12826800,             97.75,     1253819700.00   
01 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,01 JUL 2026,              10.00,         437298899,            517.75,   226411504957.25 
01 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,30 JUN 2026,              10.00,          14172816,             71.70,     1016190907.20    
01 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,01 JUL 2026,               1.00,         101250000,              9.10,      922387500.00    
01 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,01 JUL 2026,              10.00,          14138000,             78.00,     1102764000.00  
01 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,01 JUL 2026,              10.00,          28354303,             88.35,     2505386213.10
01 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,01 JUL 2026,              10.00,          42238628,             24.90,     1051319450.90    
01 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,01 JUL 2026,              10.00,          20946478,            117.65,     2464562601.50     
01 JUL 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,01 JUL 2026,               5.00,          31770375,             48.10,     1527837333.75   
01 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,01 JUL 2026,              10.00,          91270000,            375.55,    34276448500.00
01 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,01 JUL 2026,               5.00,         362594491,            467.60,   169549183991.60  
01 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,01 JUL 2026,               5.00,          90657751,            701.70,    63614543876.70
01 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,01 JUL 2026,              10.00,           8464995,            379.85,     3215428350.75 
01 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,01 JUL 2026,              10.00,          14844100,            144.70,     2147792829.00     
01 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,01 JUL 2026,               5.00,          22600000,             18.75,      423750000.00    
01 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,01 JUL 2026,              10.00,          79287782,           1518.30,   120382639410.60     
01 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,01 JUL 2026,               2.00,          58365323,             13.85,      807192417.10      
