Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
27 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,27 AUG 2026,               5.00,          35286502,            216.35,     7634940437.75 
27 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,27 AUG 2026,              10.00,          10500000,             42.00,      441000000.00
27 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,27 AUG 2026,               1.00,         406486596,           1204.00,   489409861584.00    
27 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,27 AUG 2026,              10.00,           8582670,           1350.30,    11589179301.00
27 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,27 AUG 2026,              10.00,         207403767,             23.40,     4853248147.80 
27 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,27 AUG 2026,              10.00,          11265070,          34245.00,   385772322150.00   
27 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,27 AUG 2026,               2.00,          18000000,             31.85,      573660000.00    
27 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,27 AUG 2026,              10.00,          46882257,            371.15,    17400349685.55    
27 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,27 AUG 2026,               2.00,          46078537,            745.45,    34349245406.65   
27 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,27 AUG 2026,              10.00,         177522358,             16.40,     2913141894.80  
27 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,27 AUG 2026,              10.00,          12826800,             92.00,     1180193868.00   
27 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,27 AUG 2026,              10.00,         437298899,            465.80,   203693827154.20 
27 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,27 AUG 2026,              10.00,          14172816,             67.95,      963042847.20    
27 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,27 AUG 2026,               1.00,         101250000,              8.75,      885937500.00    
27 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,27 AUG 2026,              10.00,          14138000,             65.00,      918970000.00  
27 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,27 AUG 2026,              10.00,          28354303,             84.80,     2403877808.35
27 AUG 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,27 AUG 2026,              10.00,          42238628,             33.35,     1409080630.10    
