Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
17 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,17 SEP 2026,               5.00,          35286502,            205.70,     7258786326.40 
17 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,17 SEP 2026,              10.00,          10500000,             38.60,      405510000.00
17 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,17 SEP 2026,               1.00,         406486596,           1061.30,   431404224334.80    
17 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,17 SEP 2026,              10.00,           8582670,           1290.80,    11078510436.00
17 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,17 SEP 2026,              10.00,         207403767,             25.75,     5342721037.90 
17 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,17 SEP 2026,              10.00,          11265070,          32530.00,   366452727100.00   
17 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,17 SEP 2026,               2.00,          18000000,             31.40,      565200000.00    
17 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,17 SEP 2026,              10.00,          46882257,            315.40,    14786663857.80    
17 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,17 SEP 2026,               2.00,          46078537,            872.65,    40210435313.05   
17 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,17 SEP 2026,              10.00,         177522358,             15.00,     2664610593.60  
17 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,17 SEP 2026,              10.00,          12826800,             84.55,     1084762476.00   
17 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,17 SEP 2026,              10.00,         437298899,            469.35,   205246238245.65 
17 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,17 SEP 2026,              10.00,          14172816,             63.00,      892887408.00    
17 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,17 SEP 2026,               1.00,         101250000,              8.90,      903150000.00    
17 SEP 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,17 SEP 2026,              10.00,          14138000,            140.30,     1983561400.00  
17 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,17 SEP 2026,              10.00,          28354303,            101.70,     2884199701.15
17 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,17 SEP 2026,              10.00,          42238628,             31.40,     1326292919.20    
17 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,17 SEP 2026,              10.00,          20946478,            124.40,     2606160792.75     
17 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,17 SEP 2026,               5.00,          31770375,             51.40,     1632997275.00   
17 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,17 SEP 2026,              10.00,          91270000,            428.35,    39095504500.00
17 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,17 SEP 2026,               5.00,         362594491,            476.60,   172812534410.60  
17 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,17 SEP 2026,               5.00,          90657751,            826.95,    74969427189.45
17 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,17 SEP 2026,              10.00,           8464995,            525.45,     4447931622.75 
17 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,17 SEP 2026,              10.00,          14844100,            140.80,     2090346162.00     
17 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,17 SEP 2026,              10.00,          44142190,             76.80,     3389237348.20    
17 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,16 SEP 2026,               5.00,          22600000,             19.25,      435050000.00    
17 SEP 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,17 SEP 2026,              10.00,          79287782,           1291.80,   102423956787.60     
17 SEP 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,17 SEP 2026,               2.00,          58365323,             14.30,      835791425.35      
17 SEP 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,17 SEP 2026,               2.00,          69748880,             26.60,     1856017696.80  
17 SEP 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,17 SEP 2026,               2.00,         211908375,           7130.50,  1511012667937.50       
17 SEP 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,17 SEP 2026,              10.00,          21249302,          25910.00,   550569414820.00
