Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
19 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,19 AUG 2026,               5.00,          35286502,            196.05,     6917565852.10 
19 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,19 AUG 2026,              10.00,          10500000,             44.80,      470505000.00
19 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,19 AUG 2026,               1.00,         406486596,           1180.50,   479857426578.00    
19 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,19 AUG 2026,              10.00,           8582670,           1143.80,     9816857946.00
19 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,19 AUG 2026,              10.00,         207403767,             23.15,     4801397206.05 
19 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,19 AUG 2026,              10.00,          11265070,          33505.00,   377436170350.00   
19 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,19 AUG 2026,               2.00,          18000000,             31.95,      575280000.00    
19 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,19 AUG 2026,              10.00,          46882257,            405.60,    19015443439.20    
19 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,19 AUG 2026,               2.00,          46078537,            788.85,    36349053912.45   
19 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,19 AUG 2026,              10.00,         177522358,             14.45,     2568748520.25  
19 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,19 AUG 2026,              10.00,          12826800,             94.20,     1208028024.00   
19 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,19 AUG 2026,              10.00,         437298899,            474.40,   207454597685.60 
19 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,19 AUG 2026,              10.00,          14172816,             55.65,      788717210.40    
19 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,19 AUG 2026,               1.00,         101250000,              8.45,      855562500.00    
19 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,19 AUG 2026,              10.00,          14138000,             69.00,      975522000.00  
19 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,19 AUG 2026,              10.00,          28354303,             82.60,     2341781884.75
19 AUG 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,19 AUG 2026,              10.00,          42238628,             34.20,     1444138691.30    
19 AUG 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,19 AUG 2026,              10.00,          20946478,            140.30,     2939209792.95     
19 AUG 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,19 AUG 2026,               5.00,          31770375,             49.10,     1559290005.00   
19 AUG 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,19 AUG 2026,              10.00,          91270000,            408.45,    37279231500.00
19 AUG 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,19 AUG 2026,               5.00,         362594491,            527.05,   191105426481.55  
19 AUG 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,19 AUG 2026,               5.00,          90657751,            834.15,    75622162996.65
19 AUG 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,19 AUG 2026,              10.00,           8464995,            589.10,     4986728554.50 
19 AUG 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,19 AUG 2026,              10.00,          14844100,            155.80,     2312859221.00     
19 AUG 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,19 AUG 2026,              10.00,          44142190,             73.15,     3228559776.60    
19 AUG 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,18 AUG 2026,               5.00,          22600000,             19.00,      429400000.00    
19 AUG 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,19 AUG 2026,              10.00,          79287782,           1372.80,   108846267129.60     
19 AUG 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,19 AUG 2026,               2.00,          58365323,             17.40,     1014972966.95      
19 AUG 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,19 AUG 2026,               2.00,          69748880,             28.80,     2008070255.20  
19 AUG 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,19 AUG 2026,               2.00,         211908375,           7430.00,  1574479226250.00       
19 AUG 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,19 AUG 2026,              10.00,          21249302,          26405.00,   561087819310.00
19 AUG 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,19 AUG 2026,              10.00,        2621853064,            396.00,  1038253813344.00 
19 AUG 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,19 AUG 2026,              10.00,          21963620,            218.05,     4789606613.40    
19 AUG 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,19 AUG 2026,               2.00,         279710151,            598.05,   167280655805.55      
19 AUG 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,19 AUG 2026,              10.00,        1220510115,             54.45,    66481185964.05     
19 AUG 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,19 AUG 2026,              10.00,          18587830,             24.85,      461907575.50 
